,age
1333,1970
1334,1972
1335,1991
1336,1986
1337,1964
1338,1982
1339,1973
1340,1976
1341,1989
1342,1981
1343,1994
1344,2007
1345,1970
1346,1977
1347,2000
1348,1980
1349,2000
1350,1964
1351,2008
1352,1902
1353,2001
1354,1975
1355,2008
1356,2005
1357,2002
1358,1997
1359,1998
1360,1992
1361,2006
1362,2005
1363,1996
1364,1982
1365,1988
1366,2001
1367,2005
1368,2001
1369,1988
1370,2004
1371,1986
1372,2001
1373,1984
1374,1997
1375,1999
1376,2005
1377,2006
1378,2000
1379,1998
1380,1995
1381,2003
1382,2000
1383,2004
1384,1999
1385,1999
1386,2000
1387,1995
1388,2004
1389,1993
1390,1982
1391,2006
1392,2002
1393,1999
1394,1999
1395,1996
1396,1998
1397,1963
1398,2003
1399,1966
1400,2006
1401,2009
1402,1989
1403,1988
1404,2002
1405,2007
1406,2002
1407,1996
1408,1980
1409,1986
1410,1990
1411,1994
1412,1985
1413,1997
1414,1993
1415,1996
1416,1996
1417,2008
1418,1936
1419,1999
1420,1952
1421,1986
1422,1998
1423,1994
1424,1978
1425,1997
1426,1992
1427,1990
1428,1993
1429,1993
1430,1982
1431,1992
1432,1989
1433,2002
1434,1988
1435,1991
1436,1992
1437,1989
1438,1989
1439,1991
1440,1990
1441,1987
1442,1964
1443,1982
1444,1979
1445,1968
1446,1984
1447,1971
1448,1983
1449,1956
1450,2004
1451,2002
1452,2000
1453,2003
1454,2005
1455,2007
1456,2006
1457,2007
1458,2001
1459,1956
1460,2003
1461,2003
1462,1950
1463,2006
1464,1993
1465,2000
1466,1999
1467,2002
1468,1999
1469,2004
1470,2004
1471,1999
1472,1993
1473,2006
1474,2006
1475,2004
1476,2002
1477,2004
1478,1995
1479,2004
1480,2004
1481,2001
1482,2005
1483,1998
1484,2003
1485,1981
1486,1997
1487,2005
1488,2004
1489,2003
1490,2001
1491,1996
1492,1981
1493,1999
1494,2002
1495,2004
1496,2006
1497,1966
1498,1905
1499,1992
1500,1997
1501,1998
1502,2003
1503,2000
1504,1996
1505,2005
1506,2001
1507,1901
1508,2003
1509,1997
1510,1991
1511,2002
1512,1994
1513,1995
1514,2007
1515,2003
1516,1997
1517,1999
1518,1995
1519,2000
1520,1982
1521,1997
1522,2006
1523,1984
1524,1994
1525,2003
1526,1995
1527,2002
1528,1982
1529,1996
1530,1961
1531,1996
1532,1989
1533,1993
1534,1998
1535,1995
1536,1970
1537,2002
1538,1989
1539,1991
1540,1992
1541,1991
1542,2003
1543,1984
1544,1995
1545,1990
1546,2002
1547,2000
1548,1990
1549,2002
1550,1990
1551,1970
1552,2003
1553,1992
1554,1986
1555,1988
1556,1967
1557,2004
1558,1957
1559,1998
1560,1982
1561,2000
1562,1950
1563,2002
1564,1981
1565,1976
1566,1973
1567,1971
1568,1978
1569,1959
1570,1966
1571,2005
1572,2000
1573,2000
1574,2002
1575,2000
1576,1998
1577,2003
1578,1902
1579,2002
1580,2003
1581,2006
1582,2002
1583,2004
1584,1996
1585,2005
1586,1998
1587,2002
1588,1992
1589,2004
1590,2002
1591,2005
1592,2000
1593,2002
1594,2003
1595,2000
1596,2000
1597,1990
1598,1998
1599,2002
1600,2001
1601,2000
1602,2002
1603,1999
1604,2002
1605,1998
1606,1999
1607,2005
1608,2003
1609,2004
1610,2003
1611,2000
1612,2004
1613,1996
1614,1998
1615,2003
1616,1997
1617,1994
1618,2001
1619,1998
1620,1988
1621,1994
1622,2007
1623,2004
1624,2003
1625,1998
1626,1995
1627,1984
1628,1996
1629,2000
1630,1974
1631,2007
1632,1996
1633,1999
1634,1995
1635,1975
1636,2000
1637,1982
1638,1990
1639,2002
1640,1986
1641,1990
1642,1981
1643,1990
1644,1989
1645,1993
1646,1998
1647,1976
1648,1991
1649,1976
1650,1975
1651,1991
1652,1992
1653,1998
1654,2001
1655,2000
1656,1989
1657,2006
1658,1988
1659,1990
1660,1988
1661,1991
1662,1980
1663,1988
1664,1994
1665,1979
1666,1955
1667,2000
1668,2000
1669,1972
1670,2005
1671,2004
1672,2001
1673,1984
1674,1998
1675,2005
1676,2004
1677,2002
1678,2003
1679,2005
1680,2000
1681,1998
1682,2001
1683,1999
1684,2000
1685,2003
1686,2004
1687,1999
1688,2001
1689,2004
1690,2001
1691,2000
1692,2004
1693,2007
1694,2003
1695,2005
1696,1983
1697,1998
1698,1999
1699,2005
1700,1999
1701,2005
1702,1997
1703,2002
1704,2003
1705,1998
1706,2000
1707,1983
1708,2006
1709,2001
1710,1999
1711,2002
1712,1989
1713,2004
1714,1999
1715,2002
1716,1988
1717,2001
1718,1997
1719,1979
1720,2000
1721,2000
1722,1994
1723,1993
1724,1976
1725,1998
1726,1996
1727,1999
1728,2000
1729,1994
1730,1996
1731,2007
1732,2005
1733,1996
1734,1992
1735,1993
1736,1997
1737,2003
1738,1984
1739,1993
1740,1986
1741,1992
1742,1991
1743,1993
1744,1990
1745,1999
1746,1974
1747,1994
1748,1996
1749,1993
1750,1997
1751,1988
1752,1989
1753,1989
1754,1993
1755,1989
1756,1989
1757,1977
1758,1990
1759,2000
1760,1993
1761,1990
1762,1997
1763,2007
1764,1992
1765,1988
1766,1991
1767,1994
1768,1989
1769,1991
