,age
1199,1950
1200,2001
1201,2000
1202,2002
1203,2002
1204,2003
1205,1993
1206,1988
1207,1996
1208,2002
1209,1996
1210,1995
1211,1996
1212,1996
1213,1965
1214,1982
1215,1986
1216,1994
1217,1995
1218,1991
1219,1993
1220,1992
1221,1990
1222,1991
1223,1997
1224,1995
1225,2008
1226,2003
1227,1989
1228,1992
1229,1989
1230,1994
1231,1991
1232,1991
1233,1994
1234,1991
1235,1986
1236,1991
1237,2004
1238,1976
1239,1993
1240,1992
1241,1988
1242,1986
1243,1987
1244,1995
1245,1988
1246,1951
1247,1990
1248,1995
1249,1984
1250,1984
1251,1986
1252,1990
1253,1989
1254,1991
1255,1993
1256,1987
1257,1985
1258,1990
1259,1982
1260,1964
1261,1992
1262,1978
1263,1985
1264,1988
1265,1990
1266,1989
1267,1986
1268,1987
1269,1986
1270,1976
1271,1979
1272,1951
1273,1968
1274,1994
1275,1992
1276,1964
1277,2005
1278,1997
1279,2004
1280,2004
1281,1993
1282,2004
1283,2003
1284,2006
1285,2001
1286,2004
1287,2003
1288,1997
1289,2004
1290,2005
1291,2003
1292,2000
1293,2003
1294,2001
1295,2005
1296,2001
1297,1997
1298,2006
1299,1997
1300,1998
1301,1993
1302,2000
1303,1996
1304,2003
1305,1999
1306,1997
1307,1987
1308,1994
1309,2001
1310,1999
1311,2002
1312,2001
1313,2001
1314,1999
1315,1997
1316,2001
1317,1999
1318,2006
1319,1999
1320,2002
1321,1979
1322,1995
1323,1996
1324,2000
1325,1994
1326,1995
1327,1997
1328,1995
1329,1995
1330,1991
1331,1987
1332,1993
1333,1997
1334,1994
1335,1993
1336,1992
1337,2002
1338,1996
1339,1994
1340,1993
1341,1901
1342,1990
1343,1977
1344,1987
1345,1995
1346,1992
1347,1990
1348,1996
1349,1992
1350,1995
1351,1980
1352,1994
1353,1992
1354,1991
1355,1993
1356,1988
1357,1992
1358,1976
1359,1993
1360,1989
1361,1994
1362,1985
1363,1989
1364,1983
1365,1989
1366,1994
1367,1989
1368,1978
1369,1989
1370,1987
1371,1981
1372,1987
1373,1989
1374,1994
1375,1989
1376,1991
1377,1990
1378,1990
1379,1987
1380,1992
1381,1991
1382,1988
1383,1992
1384,1955
1385,1980
1386,1987
1387,1983
1388,1991
1389,1986
1390,1976
1391,1979
1392,2003
1393,1988
1394,1952
1395,1986
1396,2008
1397,1990
1398,1989
1399,1967
1400,1949
1401,1974
1402,2003
1403,1996
1404,2003
1405,2005
1406,2004
1407,2003
1408,2008
1409,2004
1410,1999
1411,2004
1412,2003
1413,2004
1414,2005
1415,2008
1416,2004
1417,2002
1418,2000
1419,1998
1420,2003
1421,1999
1422,2007
1423,2006
1424,2001
1425,2003
1426,1999
1427,1996
1428,2004
1429,1998
1430,2002
1431,2002
1432,2005
1433,2003
1434,2004
1435,1978
1436,2001
1437,1999
1438,2003
1439,1997
1440,1998
1441,2005
1442,2002
1443,1980
1444,2000
1445,2001
1446,1999
1447,1996
1448,1994
1449,2000
1450,1975
1451,2000
1452,1972
1453,2005
1454,1998
1455,1994
1456,1904
1457,1992
1458,1995
1459,1977
1460,2001
1461,1997
1462,1991
1463,1992
1464,1985
1465,1988
1466,2003
1467,2001
1468,1997
1469,1996
1470,1996
1471,1988
1472,1992
1473,1989
1474,1993
1475,1994
1476,2001
1477,1997
1478,1990
1479,1989
1480,1990
1481,1980
1482,1988
1483,1986
1484,1992
1485,1992
1486,1992
1487,1990
1488,1992
1489,1992
1490,1988
1491,1990
1492,1995
1493,1992
1494,1985
1495,1990
1496,1991
1497,1952
1498,1991
1499,1991
1500,1991
1501,1988
1502,1993
1503,1992
1504,1988
1505,1992
